tamanho,dn1_mm,dn2_mm,carcaca_motor,a_mm,f_mm,h1_mm,h2_mm,base,h3_mm,H_mm,H1_mm,G1_mm,k_mm,E_mm,E1_mm,D1_mm,fonte
125-400,150,125,180L,140,530,315,400,0508-B,415,720,550,600,110,1470,750,1350,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
125-400,150,125,200,140,530,315,400,0508-B,415,720,550,600,110,1470,750,1350,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
125-400,150,125,225,140,530,315,400,0508-B,415,720,550,600,110,1470,750,1350,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
150-200,200,150,132M,160,530,280,400,0507-B,380,720,550,600,110,1320,700,1200,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
150-200,200,150,160M,160,530,280,400,0507-B,380,720,550,600,110,1320,700,1200,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
150-200,200,150,160L,160,530,280,400,0507-B,380,720,550,600,110,1320,700,1200,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
150-200,200,150,180M,160,530,280,400,0507-B,380,720,550,600,110,1320,700,1200,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
150-200,200,150,180L,160,530,280,400,0509-B,380,760,590,640,110,1660,840,1540,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
150-200,200,150,200,160,530,280,400,0509-B,380,760,590,640,110,1660,840,1540,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
150-250,200,150,160M,160,530,280,375,0507-B,380,720,550,600,110,1320,700,1200,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
150-250,200,150,160L,160,530,280,375,0507-B,380,720,550,600,110,1320,700,1200,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
150-250,200,150,180M,160,530,280,375,0507-B,380,720,550,600,110,1320,700,1200,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
150-250,200,150,180L,160,530,280,375,0509-B,380,760,590,640,110,1660,840,1540,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
150-250,200,150,200,160,530,280,375,0509-B,380,760,590,640,110,1660,840,1540,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
150-250,200,150,225,160,530,280,375,0509-B,380,760,590,640,110,1660,840,1540,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
150-315,200,150,200,160,670,315,400,0509-B,415,760,590,640,110,1660,840,1540,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
150-315,200,150,225,160,670,315,400,0509-B,415,760,590,640,110,1660,840,1540,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
150-400,200,150,200L,160,670,315,450,0509-B,415,760,590,640,110,1660,840,1540,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
150-400,200,150,225,160,670,315,450,0509-B,415,760,590,640,110,1660,840,1540,"KSB Meganorm manual tecnico A2742.0P/8, secao 15"
