tamanho,tamanho_folheto,polos,dn_succao_pol,dn_recalque_pol,carcaca_motor,cv,peso_kg,h1_mm,h2_mm,a_mm,h_mm,l_mm,b_mm,h3_mm,h4_mm,m1_mm,m2_mm,m3_mm,m4_mm,n1_mm,n2_mm,n3_mm,n4_mm,n5_mm,q_mm,r1_mm,s1_mm,s2_mm,t1_mm,t2_mm,w_mm,norma_flange,fonte
050-032-160,32-160,2,"2""","1.1/4""",112M,7.5,64,132,160,80,112,442,50,115,180,100,70,177,,240,190,140,40.5,220,140,190,14,12,192,111,178,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-160,32-160,2,"2""","1.1/4""",132S,10,89,132,160,80,132,481,50,115,180,100,70,187,,240,190,140,45,248,140,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-160,32-160,2,"2""","1.1/4""",132M,12.5,96,132,160,80,132,519,50,115,180,100,70,225,,240,190,140,45,248,178,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-160.1,32-160.1,2,"2""","1.1/4""",90L,4,45,132,160,80,90,399,50,110,180,100,70,156,,240,190,140,36.5,164,125,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-160.1,32-160.1,2,"2""","1.1/4""",100L,5,54,132,160,80,100,425,50,110,180,100,70,173,,240,190,140,40,188,140,160,14,12,169,99.5,171,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-160.1,32-160.1,2,"2""","1.1/4""",112M,6,62,132,160,80,112,442,50,110,180,100,70,177,,240,190,140,40.5,220,140,190,14,12,192,111,178,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-160.1,32-160.1,2,"2""","1.1/4""",112M,7.5,65,132,160,80,112,442,50,110,180,100,70,177,,240,190,140,40.5,220,140,190,14,12,192,111,178,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-200,32-200,2,"2""","1.1/4""",112M,7.5,69,160,180,80,112,442,50,125,200,100,70,177,,240,190,140,40.5,220,140,190,14,12,192,111,178,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-200,32-200,2,"2""","1.1/4""",132S,10,95,160,180,80,132,481,50,125,200,100,70,187,,240,190,140,45,248,140,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-200,32-200,2,"2""","1.1/4""",132M,12.5,102,160,180,80,132,519,50,125,200,100,70,225,,240,190,140,45,248,178,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-200,32-200,2,"2""","1.1/4""",132M,15,106,160,180,80,132,519,50,125,200,100,70,225,,240,190,140,45,248,178,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-200,32-200,2,"2""","1.1/4""",160M,20,144,160,180,80,160,622,50,125,200,100,70,254,63,240,190,140,64,308,210,254,14,14.5,266,164.5,241,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-200.1,32-200.1,2,"2""","1.1/4""",112M,7.5,69,160,180,80,112,442,50,125,200,100,70,177,,240,190,140,40.5,220,140,190,14,12,192,111,178,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-200.1,32-200.1,2,"2""","1.1/4""",132S,10,94,160,180,80,132,481,50,125,200,100,70,187,,240,190,140,45,248,140,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-200.1,32-200.1,2,"2""","1.1/4""",132M,12.5,101,160,180,80,132,519,50,125,200,100,70,225,,240,190,140,45,248,178,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-250,32-250,2,"2""","1.1/4""",160M,20,158,180,225,100,160,622,65,,,125,95,254,63,320,250,190,64,308,210,254,14,14.5,266,164.5,241,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-250,32-250,2,"2""","1.1/4""",160M,25,162,180,225,100,160,622,65,,,125,95,254,63,320,250,190,64,308,210,254,14,14.5,266,164.5,241,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-250,32-250,2,"2""","1.1/4""",180M,30,208,180,225,100,180,688,65,,,125,95,294,70,320,250,190,78,350,241,279,14,14.5,281,180,254,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-250,32-250,2,"2""","1.1/4""",200M,40,267,180,225,100,200,753,65,,,125,95,332,82,320,250,190,82,385,267,318,14,18.5,319,201,266,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-250.1,32-250.1,2,"2""","1.1/4""",132M,12.5,116,180,225,100,132,519,65,,,125,95,225,,320,250,190,45,248,178,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-250.1,32-250.1,2,"2""","1.1/4""",132M,15,120,180,225,100,132,519,65,,,125,95,225,,320,250,190,45,248,178,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-250.1,32-250.1,2,"2""","1.1/4""",160M,20,158,180,225,100,160,622,65,,,125,95,254,63,320,250,190,64,308,210,254,14,14.5,266,164.5,241,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-250.1,32-250.1,2,"2""","1.1/4""",160M,25,162,180,225,100,160,622,65,,,125,95,254,63,320,250,190,64,308,210,254,14,14.5,266,164.5,241,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
050-032-250.1,32-250.1,2,"2""","1.1/4""",180M,30,208,180,225,100,180,688,65,,,125,95,294,70,320,250,190,78,350,241,279,14,14.5,281,180,254,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
065-040-125,40-125,2,"2.1/2""","1.1/2""",90L,4,46,112,140,80,90,399,50,100,160,100,70,156,,210,160,110,36.5,164,125,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
065-040-125,40-125,2,"2.1/2""","1.1/2""",100L,5,55,112,140,80,100,425,50,100,160,100,70,173,,210,160,110,40,188,140,160,14,12,169,99.5,171,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
065-040-125,40-125,2,"2.1/2""","1.1/2""",112M,7.5,66,112,140,80,112,442,50,100,160,100,70,177,,210,160,110,40.5,220,140,190,14,12,192,111,178,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
065-040-125,40-125,2,"2.1/2""","1.1/2""",132S,10,91,112,140,80,132,481,50,100,160,100,70,187,,210,160,110,45,248,140,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
065-040-160,40-160,2,"2.1/2""","1.1/2""",112M,7.5,68,132,160,80,112,442,50,120,180,100,70,177,,240,190,140,40.5,220,140,190,14,12,192,111,178,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
065-040-160,40-160,2,"2.1/2""","1.1/2""",132S,10,92,132,160,80,132,481,50,120,180,100,70,187,,240,190,140,45,248,140,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
065-040-160,40-160,2,"2.1/2""","1.1/2""",132M,12.5,99,132,160,80,132,519,50,120,180,100,70,225,,240,190,140,45,248,178,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
