tamanho,tamanho_folheto,polos,dn_succao_pol,dn_recalque_pol,carcaca_motor,cv,peso_kg,h1_mm,h2_mm,a_mm,h_mm,l_mm,b_mm,h3_mm,h4_mm,m1_mm,m2_mm,m3_mm,m4_mm,n1_mm,n2_mm,n3_mm,n4_mm,n5_mm,q_mm,r1_mm,s1_mm,s2_mm,t1_mm,t2_mm,w_mm,norma_flange,fonte
065-040-160,40-160,4,"2.1/2""","1.1/2""",90S,1,43,132,160,80,90,374,50,,,100,70,131,,240,190,140,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
065-040-160,40-160,4,"2.1/2""","1.1/2""",90S,1.5,46,132,160,80,90,374,50,,,100,70,131,,240,190,140,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
065-040-160,40-160,4,"2.1/2""","1.1/2""",90S,2,47,132,160,80,90,374,50,,,100,70,131,,240,190,140,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
065-040-160,40-160,4,"2.1/2""","1.1/2""",90L,3,49,132,160,80,90,399,50,,,100,70,156,,240,190,140,36.5,164,125,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
065-040-200,40-200,4,"2.1/2""","1.1/2""",90S,1.5,53,160,180,100,90,374,50,,,100,70,131,,265,212,165,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
065-040-200,40-200,4,"2.1/2""","1.1/2""",90S,2,54,160,180,100,90,374,50,,,100,70,131,,265,212,165,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
065-040-200,40-200,4,"2.1/2""","1.1/2""",90L,3,56,160,180,100,90,399,50,,,100,70,156,,265,212,165,36.5,164,125,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
065-040-200,40-200,4,"2.1/2""","1.1/2""",100L,4,64,160,180,100,100,425,50,,,100,70,173,,265,212,165,40,188,140,160,14,12,169,99.5,171,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
065-040-250,40-250,4,"2.1/2""","1.1/2""",90L,3,68,180,225,100,90,399,65,,,125,95,156,,320,250,190,36.5,164,125,140,14,10,159,89.5,174,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
065-040-250,40-250,4,"2.1/2""","1.1/2""",100L,4,76,180,225,100,100,425,65,,,125,95,173,,320,250,190,40,188,140,160,14,12,169,99.5,171,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
065-040-250,40-250,4,"2.1/2""","1.1/2""",100L,5,81,180,225,100,100,425,65,,,125,95,173,,320,250,190,40,188,140,160,14,12,169,99.5,171,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
065-040-250,40-250,4,"2.1/2""","1.1/2""",112M,6,87,180,225,100,112,442,65,,,125,95,177,,320,250,190,40.5,220,140,190,14,12,192,111,178,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-125,50-125,4,"3""","2""",90S,1,46,132,160,100,90,374,50,,,100,70,131,,240,190,140,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-125,50-125,4,"3""","2""",90S,1.5,49,132,160,100,90,374,50,,,100,70,131,,240,190,140,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-125,50-125,4,"3""","2""",90S,2,50,132,160,100,90,374,50,,,100,70,131,,240,190,140,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-160,50-160,4,"3""","2""",90S,1.5,50,160,180,100,90,374,50,,,100,70,131,,265,212,165,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-160,50-160,4,"3""","2""",90S,2,51,160,180,100,90,374,50,,,100,70,131,,265,212,165,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-160,50-160,4,"3""","2""",90L,3,53,160,180,100,90,399,50,,,100,70,156,,265,212,165,36.5,164,125,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-160,50-160,4,"3""","2""",100L,4,61,160,180,100,100,425,50,,,100,70,173,,265,212,165,40,188,140,160,14,12,169,99.5,171,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-200,50-200,4,"3""","2""",90L,3,59,160,200,100,90,399,50,,,100,70,156,,265,212,165,36.5,164,125,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-200,50-200,4,"3""","2""",100L,4,67,160,200,100,100,425,50,,,100,70,173,,265,212,165,40,188,140,160,14,12,169,99.5,171,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-200,50-200,4,"3""","2""",100L,5,72,160,200,100,100,425,50,,,100,70,173,,265,212,165,40,188,140,160,14,12,169,99.5,171,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-200,50-200,4,"3""","2""",112M,6,78,160,200,100,112,442,50,,,100,70,177,,265,212,165,40.5,220,140,190,14,12,192,111,178,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-250,50-250,4,"3""","2""",100L,5,84,180,225,125,100,425,65,,,125,95,173,,320,250,190,40,188,140,160,14,12,169,99.5,171,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-250,50-250,4,"3""","2""",112M,6,90,180,225,125,112,442,65,,,125,95,177,,320,250,190,40.5,220,140,190,14,12,192,111,178,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-250,50-250,4,"3""","2""",132S,7.5,115,180,225,125,132,481,65,,,125,95,187,,320,250,190,45,248,140,216,14,12,220,136,197,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-250,50-250,4,"3""","2""",132S,10,120,180,225,125,132,481,65,,,125,95,187,,320,250,190,45,248,140,216,14,12,220,136,197,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-315,50-315,4,"3""","2""",132S,10,141,225,280,125,132,481,65,,,125,95,187,,345,280,215,45,248,140,216,14,12,220,136,197,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-315,50-315,4,"3""","2""",132M,12.5,147,225,280,125,132,519,65,,,125,95,225,,345,280,215,45,248,178,216,14,12,220,136,197,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-315,50-315,4,"3""","2""",132M/L,15,151,225,280,125,132,544,65,,,125,95,250,,345,280,215,45,248,140,216,14,12,220,136,197,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
080-050-315,50-315,4,"3""","2""",160M,20,202,225,280,125,160,622,65,,,125,95,254,63,345,280,215,64,308,210,254,14,14.5,266,164.5,241,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-125,65-125,4,"4""","2.1/2""",90S,1,55,160,180,100,90,374,65,,,125,95,131,,280,212,150,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-125,65-125,4,"4""","2.1/2""",90S,1.5,58,160,180,100,90,374,65,,,125,95,131,,280,212,150,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-125,65-125,4,"4""","2.1/2""",90S,2,59,160,180,100,90,374,65,,,125,95,131,,280,212,150,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-125,65-125,4,"4""","2.1/2""",90L,3,61,160,180,100,90,399,65,,,125,95,156,,280,212,150,36.5,164,125,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-160,65-160,4,"4""","2.1/2""",90S,1.5,66,160,200,100,90,374,65,,,125,95,131,,280,212,150,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-160,65-160,4,"4""","2.1/2""",90S,2,67,160,200,100,90,374,65,,,125,95,131,,280,212,150,36.5,164,100,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-160,65-160,4,"4""","2.1/2""",90L,3,69,160,200,100,90,399,65,,,125,95,156,,280,212,150,36.5,164,125,140,14,10,159,89.5,174,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-160,65-160,4,"4""","2.1/2""",100L,4,77,160,200,100,100,425,65,,,125,95,173,,280,212,150,40,188,140,160,14,12,169,99.5,171,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-200,65-200,4,"4""","2.1/2""",100L,4,73,180,225,100,100,425,65,,,125,95,173,,320,250,190,40,188,140,160,14,12,169,99.5,171,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-200,65-200,4,"4""","2.1/2""",100L,5,78,180,225,100,100,425,65,,,125,95,173,,320,250,190,40,188,140,160,14,12,169,99.5,171,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-200,65-200,4,"4""","2.1/2""",112M,6,84,180,225,100,112,442,65,,,125,95,177,,320,250,190,40.5,220,140,190,14,12,192,111,178,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-200,65-200,4,"4""","2.1/2""",132S,7.5,108,180,225,100,132,481,65,,,125,95,187,,320,250,190,45,248,140,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-200,65-200,4,"4""","2.1/2""",132S,10,113,180,225,100,132,481,65,,,125,95,187,,320,250,190,45,248,140,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-250,65-250,4,"4""","2.1/2""",112M,6,106,200,250,125,112,442,80,,,160,120,177,,360,280,200,40.5,220,140,190,18,12,192,111,178,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-250,65-250,4,"4""","2.1/2""",132S,7.5,129,200,250,125,132,481,80,,,160,120,187,,360,280,200,45,248,140,216,18,12,220,136,197,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-250,65-250,4,"4""","2.1/2""",132S,10,134,200,250,125,132,481,80,,,160,120,187,,360,280,200,45,248,140,216,18,12,220,136,197,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-250,65-250,4,"4""","2.1/2""",132M,12.5,140,200,250,125,132,519,80,,,160,120,225,,360,280,200,45,248,178,216,18,12,220,135.5,197,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-315,65-315,4,"4""","2.1/2""",132M,12.5,146,225,280,125,132,519,80,,,160,120,225,,400,315,240,45,248,178,216,18,12,220,136,197,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-315,65-315,4,"4""","2.1/2""",132M/L,15,150,225,280,125,132,544,80,,,160,120,250,,400,315,240,45,248,178,216,18,12,220,136,197,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-315,65-315,4,"4""","2.1/2""",160M,20,201,225,280,125,160,622,80,,,160,120,254,63,400,315,240,64,308,210,254,18,14.5,266,164.5,241,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-315,65-315,4,"4""","2.1/2""",180M,25,232,225,280,125,180,688,80,,,160,120,294,70,400,315,240,78,350,241,279,18,14.5,281,180,254,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
100-065-315,65-315,4,"4""","2.1/2""",180M,30,244,225,280,125,180,688,80,,,160,120,294,70,400,315,240,78,350,241,279,18,14.5,281,180,254,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-080-160,80-160,4,"5""","3""",100L,4,85,180,225,125,100,425,65,,,125,95,173,,320,250,190,40,188,140,160,14,12,169,99.5,171,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-080-160,80-160,4,"5""","3""",100L,5,90,180,225,125,100,425,65,,,125,95,173,,320,250,190,40,188,140,160,14,12,169,99.5,171,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-080-160,80-160,4,"5""","3""",112M,6,96,180,225,125,112,442,65,,,125,95,177,,320,250,190,40.5,220,140,190,14,12,192,111,178,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-080-160,80-160,4,"5""","3""",132S,7.5,119,180,225,125,132,481,65,,,125,95,187,,320,250,190,45,248,140,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-080-200,80-200,4,"5""","3""",112M,6,99,180,250,125,112,442,65,,,125,95,177,,345,280,215,40.5,220,140,190,14,12,192,111,178,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-080-200,80-200,4,"5""","3""",132S,7.5,122,180,250,125,132,481,65,,,125,95,187,,345,280,215,45,248,140,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-080-200,80-200,4,"5""","3""",132S,10,127,180,250,125,132,481,65,,,125,95,187,,345,280,215,45,248,140,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-080-200,80-200,4,"5""","3""",132M,12.5,133,180,250,125,132,519,65,,,125,95,225,,345,280,215,45,248,178,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-080-200,80-200,4,"5""","3""",132M/L,15,137,180,250,125,132,544,65,,,125,95,250,,345,280,215,45,248,140,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-080-250,80-250,4,"5""","3""",132S,10,147,225,280,125,132,481,80,,,160,120,187,,400,315,240,45,248,140,216,18,12,220,136,197,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-080-250,80-250,4,"5""","3""",132M,12.5,153,225,280,125,132,519,80,,,160,120,225,,400,315,240,45,248,178,216,18,12,220,136,197,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-080-250,80-250,4,"5""","3""",132M/L,15,157,225,280,125,132,544,80,,,160,120,250,,400,315,240,45,248,140,216,18,12,220,136,197,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-080-250,80-250,4,"5""","3""",160M,20,209,225,280,125,160,622,80,,,160,120,254,63,400,315,240,64,308,210,254,18,14.5,266,164.5,241,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-080-315,80-315,4,"5""","3""",160M,20,220,250,315,125,160,622,80,,,160,120,254,63,400,315,240,64,308,210,254,18,14.5,266,164.5,241,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-080-315,80-315,4,"5""","3""",180M,25,255,250,315,125,180,688,80,,,160,120,294,70,400,315,240,78,350,241,279,18,14.5,281,180,254,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-080-315,80-315,4,"5""","3""",180M,30,267,250,315,125,180,688,80,,,160,120,294,70,400,315,240,78,350,241,279,18,14.5,281,180,254,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-080-315,80-315,4,"5""","3""",200M,40,306,250,315,125,200,753,80,,,160,120,332,82,400,315,240,82,385,267,318,18,18.5,319,201,266,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-080-315,80-315,4,"5""","3""",200L,50,334,250,315,125,200,791,80,,,160,120,370,82,400,315,240,82,385,305,318,18,18.5,319,201,266,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-100-200,100-200,4,"5""","4""",132S,10,138,200,280,125,132,481,80,,,160,120,187,,360,280,200,45,248,140,216,18,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-100-200,100-200,4,"5""","4""",132M,12.5,144,200,280,125,132,519,80,,,160,120,225,,360,280,200,45,248,178,216,18,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-100-200,100-200,4,"5""","4""",132M/L,15,148,200,280,125,132,544,80,,,160,120,250,,360,280,200,45,248,140,216,18,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-100-200,100-200,4,"5""","4""",160M,20,200,200,280,125,160,622,80,,,160,120,254,63,360,280,200,64,308,210,254,18,14.5,266,164.5,241,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-100-250,100-250,4,"5""","4""",160M,20,210,225,280,140,160,622,80,,,160,120,254,63,400,315,240,64,308,210,254,18,14.5,266,164.5,241,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-100-250,100-250,4,"5""","4""",180M,25,246,225,280,140,180,688,80,,,160,120,294,70,400,315,240,78,350,241,279,18,14.5,281,180,254,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-100-250,100-250,4,"5""","4""",180M,30,258,225,280,140,180,688,80,,,160,120,294,70,400,315,240,78,350,241,279,18,14.5,281,180,254,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-100-315,100-315,4,"5""","4""",180M,30,276,250,315,140,180,688,80,,,160,120,294,70,400,315,240,78,350,241,279,18,14.5,281,180,254,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-100-315,100-315,4,"5""","4""",200M,40,315,250,315,140,200,753,80,,,160,120,332,82,400,315,240,82,385,267,318,18,18.5,319,201,266,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-100-315,100-315,4,"5""","4""",200L,50,343,250,315,140,200,791,80,,,160,120,370,82,400,315,240,82,385,305,318,18,18.5,319,201,266,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
125-100-315,100-315,4,"5""","4""",225S/M,60,504,250,315,140,225,880,80,,,160,120,412,124,400,315,240,80,436,241,356,18,18.5,408,227.5,282,ANSI 250,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
150-125-200,125-200,4,"6""","5""",160M,20,223,250,315,140,160,622,80,,,160,120,254,63,400,315,240,64,308,210,254,19,14.5,266,164.5,241,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
150-125-200,125-200,4,"6""","5""",180M,25,259,250,315,140,180,688,80,,,160,120,294,70,400,315,240,78,350,241,279,19,14.5,281,180,254,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
150-125-200,125-200,4,"6""","5""",180M,30,271,250,315,140,180,688,80,,,160,120,294,70,400,315,240,78,350,241,279,19,14.5,281,180,254,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
150-125-250,125-250,4,"6""","5""",180M,25,275,250,355,140,180,688,80,,,160,120,294,70,400,315,240,78,350,241,279,18,14.5,281,180,254,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
150-125-250,125-250,4,"6""","5""",180M,30,287,250,355,140,180,688,80,,,160,120,294,70,400,315,240,78,350,241,279,18,14.5,281,180,254,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
150-125-250,125-250,4,"6""","5""",200M,40,326,250,355,140,200,753,80,,,160,120,332,82,400,315,240,82,385,267,318,18,18.5,319,201,266,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
200-150-200,150-200,4,"8""","6""",160M,20,282,280,400,180,160,622,100,,,200,150,254,63,550,450,350,64,308,210,254,24,14.5,266,164.5,241,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
200-150-200,150-200,4,"8""","6""",180M,25,317,280,400,180,180,688,100,,,200,150,294,70,550,450,350,78,350,241,279,24,14.5,281,180,254,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
200-150-200,150-200,4,"8""","6""",180M,30,329,280,400,180,180,688,100,,,200,150,294,70,550,450,350,78,350,241,279,24,14.5,281,180,254,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
200-150-200,150-200,4,"8""","6""",200M,40,368,280,400,180,200,753,100,,,200,150,332,82,550,450,350,82,385,267,318,24,18.5,319,201,266,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
200-150-250,150-250,4,"8""","6""",180M,30,316,280,375,160,180,688,100,,,200,150,294,70,500,400,300,78,350,241,279,23,14.5,281,180,254,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
200-150-250,150-250,4,"8""","6""",200M,40,355,280,375,160,200,753,100,,,200,150,332,82,500,400,300,82,385,267,318,23,18.5,319,201,266,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
200-150-250,150-250,4,"8""","6""",200L,50,383,280,375,160,200,791,100,,,200,150,370,82,500,400,300,82,385,305,318,23,18.5,319,201,266,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
200-150-250,150-250,4,"8""","6""",225S/M,60,544,280,375,160,225,880,100,,,200,150,412,124,500,400,300,80,436,241,356,23,18.5,408,227.5,282,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
