pagina,peca,dn_mm,dn_pol,cotas,sap,situacao
26,,152,6,"1500 216 2"" bsp 146 30 40 3"" bsp 78,24 40 100 2"" bsp 116 30 40 K10 2,00 74,24 33,51 156,48 75,03",01528-033015,cadastrado
26,,203,8,"1500 297 2"" bsp 199,25 30 40 2"" bsp 106,78 30 100 2"" bsp 141,5 30 40 K10 2,00 101,78 47,38 213,56 104,77",01528-034010,cadastrado
26,,203,8,"1500 297 2"" bsp 199,25 30 40 3"" bsp 106,78 40 100 2"" bsp 141,5 30 40 K10 2,00 101,78 47,38 213,56 104,77",01528-034015,cadastrado
26,,261,10,"1500 325 2"" bsp 227,75 30 40 2"" bsp 122,05 30 100 2"" bsp 170,5 30 40 K10 2,65 117,05 47,12 244,10 104,23",,CADASTRAR
26,,261,10,"1500 325 2"" bsp 227,75 30 40 3"" bsp 122,05 40 100 2"" bsp 170,5 30 40 K10 2,65 117,05 47,12 244,10 104,23",01528-031515,cadastrado
26,,318,12,"1500 365 2"" bsp 262 30 40 2"" bsp 140,41 30 100 2"" bsp 199 30 40 K10 2,65 135,41 50,20 280,81 110,40",,CADASTRAR
26,,318,12,"1500 365 2"" bsp 262 30 40 3"" bsp 140,41 40 100 2"" bsp 199 30 40 K10 2,65 135,41 50,20 280,81 110,40",,CADASTRAR
27,,48,2,"1500 132,50 11/2"" bsp 78,25 30 40 11/2"" bsp 64 30 40 K10 2,00 38,93 26,07 83,87 58,14",,CADASTRAR
27,,76,3,"1500 152,00 11/2"" bsp 95 30 40 11/2"" bsp 78 30 40 K10 2,00 47,91 27,55 101,82 61,09",,CADASTRAR
27,,102,4,"1500 175,00 2"" bsp 113 30 40 2"" bsp 91 30 40 K10 2,00 56,56 29,23 121,11 66,45",,CADASTRAR
27,,152,6,"1500 216,00 2"" bsp 146 30 40 2"" bsp 116 30 40 K10 2,00 74,24 33,51 156,48 75,03",01528-043010,cadastrado
27,,203,8,"1500 297,00 2"" bsp 199,25 30 40 2"" bsp 141,5 30 40 K10 2,00 101,78 47,38 213,56 104,77",01528-044010,cadastrado
27,,261,10,"1500 325,00 2"" bsp 227,75 30 40 2"" bsp 170,5 30 40 K10 2,65 117,05 47,12 244,10 104,23",01528-045010,cadastrado
27,,318,12,"1500 365,00 2"" bsp 262 30 40 2"" bsp 199 30 40 K10 2,65 135,41 50,20 280,81 110,40",,CADASTRAR
27,,368,14,"1500 370,00 2"" bsp 277 30 40 2"" bsp 224 30 40 K10 3,00 142,44 43,84 296,89 99,68",01528-047010,cadastrado
28,,48,2,"1200 132,50 2,00 K10 K10 38,93 26,07 83,87 58,14 15° 30° 30° 15°",,CADASTRAR
28,,76,3,"1200 152,00 2,00 K10 K10 47,91 27,55 101,82 61,09 15° 30° 30° 15°",,CADASTRAR
28,,102,4,"1200 175,00 2,00 K10 K10 56,56 29,23 121,11 66,45 15° 30° 30° 15°",01528-053000,cadastrado
28,,152,6,"1200 216,00 2,00 K10 K10 74,24 33,51 156,48 75,03 15° 30° 30° 15°",,CADASTRAR
28,,203,8,"1200 297,00 2,00 K10 K10 101,78 47,38 213,56 104,77 15° 30° 30° 15°",01528-054000,cadastrado
28,,261,10,"1200 325,00 2,65 K10 K10 117,05 47,12 244,10 104,23 15° 30° 30° 15°",01528-054510,cadastrado
28,,318,12,"1200 365,00 2,65 K10 K10 135,41 50,20 280,81 110,40 15° 30° 30° 15°",01528-055010,cadastrado
28,,368,14,"1200 370,00 2,65 K10 K10 142,44 43,84 296,89 99,68 15° 30° 30° 15°",01528-055012,cadastrado
28,,419,16,"1200 405,00 2,65 K10 K10 158,65 46,38 329,31 104,77 15° 30° 30° 15°",,CADASTRAR
28,,470,18,"1200 427,50 2,65 K10 K10 171,52 45,58 355,03 103,16 15° 30° 30° 15°",,CADASTRAR
28,,521,20,"1200 457,00 2,65 K10 K10 186,25 46,65 384,51 105,30 15° 30° 30° 15°",,CADASTRAR
28,,622,24,"1200 559,00 2,65 K10 K10 226,12 59,45 466,23 132,90 15° 30° 30° 15°",,CADASTRAR
29,,48,2,"500 250 1"" bsp 40 30 2,00 FL NBR7675 PN16",,CADASTRAR
29,,76,3,"500 250 2"" bsp 40 30 2,00 FL NBR7675 PN16",01528-061005,cadastrado
29,,76,3,"500 250 3"" bsp 50 40 2,00 FL NBR7675 PN16",,CADASTRAR
29,,102,4,"500 250 2"" bsp 40 30 2,00 FL NBR7675 PN16",01528-063013,cadastrado
29,,102,4,"500 250 3"" bsp 50 40 2,00 FL NBR7675 PN16",,CADASTRAR
29,,152,6,"500 250 2"" bsp 40 30 2,00 FL NBR7675 PN16",01528-063010,cadastrado
29,,152,6,"500 250 3"" bsp 50 40 2,00 FL NBR7675 PN16",,CADASTRAR
29,,203,8,"500 250 2"" bsp 40 30 2,00 FL NBR7675 PN16",,CADASTRAR
29,,203,8,"500 250 3"" bsp 50 40 2,00 FL NBR7675 PN16",,CADASTRAR
29,,261,10,"500 250 2"" bsp 40 30 2,65 FL NBR7675 PN16",01528-064515,cadastrado
29,,261,10,"500 250 3"" bsp 50 40 2,65 FL NBR7675 PN16",,CADASTRAR
29,,318,12,"500 250 2"" bsp 40 30 2,65 FL NBR7675 PN16",,CADASTRAR
29,,318,12,"500 250 3"" bsp 50 40 2,65 FL NBR7675 PN16",,CADASTRAR
30,,48,2,"500 250 1"" bsp 40 30 2,00 FL NBR7675 PN16 K10",,CADASTRAR
30,,76,3,"500 250 2"" bsp 40 30 2,00 FL NBR7675 PN16 K10",,CADASTRAR
30,,76,3,"500 250 3"" bsp 50 40 2,00 FL NBR7675 PN16 K10",,CADASTRAR
30,,102,4,"500 250 2"" bsp 40 30 2,00 FL NBR7675 PN16 K10",01528-062016,cadastrado
30,,102,4,"500 250 3"" bsp 50 40 2,00 FL NBR7675 PN16 K10",,CADASTRAR
30,,152,6,"500 250 2"" bsp 40 30 2,00 FL NBR7675 PN16 K10",,CADASTRAR
30,,152,6,"500 250 3"" bsp 50 40 2,00 FL NBR7675 PN16 K10",,CADASTRAR
30,,203,8,"500 250 2"" bsp 40 30 2,00 FL NBR7675 PN16 K10",,CADASTRAR
30,,203,8,"500 250 3"" bsp 50 40 2,00 FL NBR7675 PN16 K10",,CADASTRAR
30,,261,10,"500 250 2"" bsp 40 30 2,65 FL NBR7675 PN16 K10",01528-064525,cadastrado
30,,261,10,"500 250 3"" bsp 50 40 2,65 FL NBR7675 PN16 K10",,CADASTRAR
30,,318,12,"500 250 2"" bsp 40 30 2,65 FL NBR7675 PN16 K10",01528-065010,cadastrado
30,,318,12,"500 250 3"" bsp 50 40 2,65 FL NBR7675 PN16 K10",,CADASTRAR
31,,48,2,"1200 500 132,50 4 90° 2,00 3,00 FL NBR7675 PN16 K10 38,93 26,07 83,87 58,14 15° 30° 30° 15°",,CADASTRAR
31,,76,3,"1200 500 152,00 4 90° 2,00 3,00 FL NBR7675 PN16 K10 47,91 27,55 101,82 61,09 15° 30° 30° 15°",01528-071515,cadastrado
31,,102,4,"1200 500 175,00 6 60° 2,00 3,00 FL NBR7675 PN16 K10 56,56 29,23 121,11 66,45 15° 30° 30° 15°",01528-072015,cadastrado
31,,152,6,"1200 500 216,00 6 60° 2,00 3,00 FL NBR7675 PN16 K10 74,24 33,51 156,48 75,03 15° 30° 30° 15°",01528-073015,cadastrado
31,,203,8,"1200 500 297,00 8 45° 2,00 3,00 FL NBR7675 PN16 K10 101,78 47,38 213,56 104,77 15° 30° 30° 15°",01528-074015,cadastrado
31,,261,10,"1200 500 325,00 8 45° 2,65 3,00 FL NBR7675 PN16 K10 117,05 47,12 244,10 104,23 15° 30° 30° 15°",01528-074515,cadastrado
31,,318,12,"1200 500 365,00 8 45° 2,65 3,00 FL NBR7675 PN16 K10 135,41 50,20 280,81 110,40 15° 30° 30° 15°",01528-075020,cadastrado
31,,368,14,"1200 500 370,00 8 45° 2,65 3,00 FL NBR7675 PN16 K10 142,44 43,84 296,89 99,68 15° 30° 30° 15°",01528-075025,cadastrado
31,,419,16,"1200 500 405,00 8 45° 4,75 4,75 FL NBR7675 PN16 K10 158,65 46,38 329,31 104,77 15° 30° 30° 15°",01528-075030,cadastrado
31,,470,18,"1200 500 427,50 8 45° 4,75 4,75 FL NBR7675 PN16 K10 171,52 45,58 355,03 103,16 15° 30° 30° 15°",01528-075035,cadastrado
31,,521,20,"1200 500 457,00 8 45° 4,75 4,75 FL NBR7675 PN16 K10 186,25 46,65 384,51 105,30 15° 30° 30° 15°",01528-075040,cadastrado
31,,622,24,"1200 500 559,00 8 45° 6,35 6,35 FL NBR7675 PN16 K10 226,12 59,45 466,23 132,90 15° 30° 30° 15°",01528-075050,cadastrado
31,,711,28,"1750 500 610,00 8 45° 6,35 6,35 FL NBR7675 PN16 K10 328,51 138,00 517,41 136,39 15° 30° 30° 15°",01528-000022,cadastrado
32,,152,6,"1000 500 48 [2""] FL NBR7675 PN16 2,00 2,00",01528-083010,cadastrado
32,,152,6,"1000 500 76 [3""] FL NBR7675 PN16 2,00 2,00",,CADASTRAR
32,,152,6,"1000 500 102 [4""] FL NBR7675 PN16 2,00 2,00",,CADASTRAR
32,,203,8,"1000 500 76 [3""] FL NBR7675 PN16 2,00 2,00",,CADASTRAR
32,,203,8,"1000 500 102 [4""] FL NBR7675 PN16 2,00 2,00",01528-084020,cadastrado
32,,203,8,"1000 500 152 [6""] FL NBR7675 PN16 2,00 2,00",01528-084030,cadastrado
32,,261,10,"1000 500 102 [4""] FL NBR7675 PN16 2,65 2,00",01528-084525,cadastrado
32,,261,10,"1000 500 152 [6""] FL NBR7675 PN16 2,65 2,00",01528-084531,cadastrado
32,,261,10,"1000 500 203 [8""] FL NBR7675 PN16 2,65 2,00",01528-084535,cadastrado
32,,318,12,"1000 500 152 [6""] FL NBR7675 PN16 2,65 2,00 01528-0030",,indefinido
32,,318,12,"1000 500 203 [8""] FL NBR7675 PN16 2,65 2,00",01528-085035,cadastrado
32,,318,12,"1000 500 261 [10""] FL NBR7675 PN16 2,65 2,65",,CADASTRAR
32,,368,14,"1000 500 203 [8""] FL NBR7675 PN16 3,00 2,00",01528-085510,cadastrado
32,,419,16,"1000 500 261 [10""] FL NBR7675 PN16 4,75 2,65",01528-083160,cadastrado
33,,48,2,"1000 500 4 90° 2,00 3,00 FL NBR7675 PN16",,CADASTRAR
33,,76,3,"1000 500 4 90° 2,00 3,00 FL NBR7675 PN16",01528-113890,cadastrado
33,,102,4,"1000 500 6 60° 2,00 3,00 FL NBR7675 PN16",01528-113900,cadastrado
33,,152,6,"1000 500 6 60° 2,00 3,00 FL NBR7675 PN16",01528-114009,cadastrado
33,,203,8,"1000 500 8 45° 2,00 3,00 FL NBR7675 PN16",01528-114010,cadastrado
33,,261,10,"1000 500 8 45° 2,65 3,00 FL NBR7675 PN16",01528-114500,cadastrado
33,,318,12,"1000 500 8 45° 2,65 3,00 FL NBR7675 PN16",01528-115000,cadastrado
33,,368,14,"1000 500 8 45° 3,00 3,00 FL NBR7675 PN16",01528-115500,cadastrado
33,,419,16,"1000 500 8 45° 4,75 4,75 FL NBR7675 PN16",01528-115501,cadastrado
33,,470,18,"1000 500 8 45° 4,75 4,75 FL NBR7675 PN16",,CADASTRAR
33,,521,20,"1000 500 8 45° 4,75 4,75 FL NBR7675 PN16",01528-116500,cadastrado
33,,622,24,"2000 500 8 45° 6,35 6,35 FL NBR7675 PN16",,CADASTRAR
33,,711,28,"2000 500 8 45° 6,35 6,35 FL NBR7675 PN16",01528-000024,cadastrado
34,,76,3,"2000 250 1000 750 2"" bsp (Femea) 40 30 2,00 FL NBR7675 PN16",01528-124050,cadastrado
34,,102,4,"2250 250 1000 1000 2"" bsp (Femea) 40 30 2,00 FL NBR7675 PN16",,CADASTRAR
34,,152,6,"2750 250 1000 1500 2"" bsp (Femea) 40 30 2,00 FL NBR7675 PN16",01528-124100,cadastrado
34,,203,8,"3250 250 1000 2000 2"" bsp (Femea) 40 30 2,00 FL NBR7675 PN16",01528-124200,cadastrado
34,,261,10,"2500 250 1000 1250 2"" bsp (Femea) 40 30 2,65 FL NBR7675 PN16",01528-124500,cadastrado
34,,318,12,"3000 250 1000 1750 2"" bsp (Femea) 40 30 2,65 FL NBR7675 PN16",01528-124655,cadastrado
35,,76,3,"2000 250 1000 750 2"" bsp (Femea) 40 30 2,00 K10 FL NBR 7675 PN16",,CADASTRAR
35,,102,4,"2250 250 1000 1000 2"" bsp (Femea) 40 30 2,00 K10 FL NBR 7675 PN16",,CADASTRAR
35,,152,6,"2750 250 1000 1500 2"" bsp (Femea) 40 30 2,00 K10 FL NBR 7675 PN16",01528-000006,cadastrado
35,,203,8,"3250 250 1000 2000 2"" bsp (Femea) 40 30 2,00 K10 FL NBR 7675 PN16",,CADASTRAR
35,,261,10,"2500 250 1000 1250 2"" bsp (Femea) 40 30 2,65 K10 FL NBR 7675 PN16",01528-124600,cadastrado
35,,318,12,"3000 250 1000 1750 2"" bsp (Femea) 40 30 2,65 K10 FL NBR 7675 PN16",01528-124650,cadastrado
36,Reducao Concentrica/Excentrica c/flanges Ansi 150LB,76,3,"x d2502,00FL ANSIB 16.5 150LB",,indefinido
36,Reducao Concentrica/Excentrica c/flanges Ansi 150LB,102,4,"x d2502,00FL ANSIB 16.5 150LB",,indefinido
36,Reducao Concentrica/Excentrica c/flanges Ansi 150LB,133,5,"x d2502,00FL ANSIB 16.5 150LB",,indefinido
36,Reducao Concentrica/Excentrica c/flanges Ansi 150LB,152,6,"x d3002,00FL ANSIB 16.5 150LB",,indefinido
36,Reducao Concentrica/Excentrica c/flanges Ansi 150LB,203,8,"x d3002,00FL ANSIB 16.5 150LB",,indefinido
36,Reducao Concentrica/Excentrica c/flanges Ansi 150LB,261,10,"x d3502,65FL ANSIB 16.5 150LB",,indefinido
36,Reducao Concentrica/Excentrica c/flanges Ansi 150LB,318,12,"x d4502,65FL ANSIB 16.5 150LB",,indefinido
36,Reducao Concentrica/Excentrica c/flanges Ansi 150LB,368,14,"x d6003,00FL ANSIB 16.5 150LB",,indefinido
36,Reducao Concentrica/Excentrica c/flanges Ansi 150LB,419,16,"x d6004,75FL ANSIB 16.5 150LB",,indefinido
36,Reducao Concentrica/Excentrica c/flanges Ansi 150LB,470,18,"x d6004,75FL ANSIB 16.5 150LB",,indefinido
36,Reducao Concentrica/Excentrica c/flanges Ansi 150LB,521,20,"x d6004,75FL ANSIB 16.5 150LB",,indefinido
36,Reducao Concentrica/Excentrica c/flanges Ansi 150LB,622,24,"x d6006,35FL ANSIB 16.5 150LB",,indefinido
37,Dimensional padrão p/ construção de Redução Concêntrica/Excêntrica c/f,76,3,"x d2502,00FL ANSIB 16.5 300LB",,indefinido
37,Dimensional padrão p/ construção de Redução Concêntrica/Excêntrica c/f,102,4,"x d2502,00FL ANSIB 16.5 300LB",,indefinido
37,Dimensional padrão p/ construção de Redução Concêntrica/Excêntrica c/f,152,6,"x d3002,00FL ANSIB 16.5 300LB",,indefinido
37,Dimensional padrão p/ construção de Redução Concêntrica/Excêntrica c/f,203,8,"x d3002,00FL ANSIB 16.5 300LB",,indefinido
37,Dimensional padrão p/ construção de Redução Concêntrica/Excêntrica c/f,261,10,"x d3502,65FL ANSIB 16.5 300LB",,indefinido
37,Dimensional padrão p/ construção de Redução Concêntrica/Excêntrica c/f,318,12,"x d4504,75FL ANSIB 16.5 300LB",,indefinido
37,Dimensional padrão p/ construção de Redução Concêntrica/Excêntrica c/f,368,14,"x d6004,75FL ANSIB 16.5 300LB",,indefinido
37,Dimensional padrão p/ construção de Redução Concêntrica/Excêntrica c/f,419,16,"x d6004,75FL ANSIB 16.5 300LB",,indefinido
37,Dimensional padrão p/ construção de Redução Concêntrica/Excêntrica c/f,470,18,"x d6004,75FL ANSIB 16.5 300LB",,indefinido
37,Dimensional padrão p/ construção de Redução Concêntrica/Excêntrica c/f,521,20,"x d6006,35FL ANSIB 16.5 300LB",,indefinido
37,Dimensional padrão p/ construção de Redução Concêntrica/Excêntrica c/f,622,24,"x d6006,35FL ANSIB 16.5 300LB",,indefinido
38,,76,3,"x d 250 2, 00 EN 1092 PN16",,indefinido
38,,102,4,"x d 250 2, 00 EN 1092 PN16",,indefinido
38,,133,5,"x d 250 2, 00 EN 1092 PN16",,indefinido
38,,152,6,"x d 300 2, 00 EN 1092 PN16",,indefinido
38,,203,8,"x d 300 2, 00 EN 1092 PN16",,indefinido
38,,261,10,"x d 350 2, 65 EN 1092 PN16",,indefinido
38,,318,12,"x d 450 2, 65 EN 1092 PN16",,indefinido
38,,368,14,"x d 600 3, 00 EN 1092 PN16",,indefinido
38,,419,16,"x d 600 4, 75 EN 1092 PN16",,indefinido
38,,470,18,"x d 600 4, 75 EN 1092 PN16",,indefinido
38,,521,20,"x d 600 4, 75 EN 1092 PN16",,indefinido
38,,622,24,"x d 600 6, 35 EN 1092 PN16",,indefinido
39,,76,3,"x d 250 2, 00 FL NBR7675 PN16",,indefinido
39,,102,4,"x d 250 2, 00 FL NBR7675 PN16",,indefinido
39,,152,6,"x d 300 2, 00 FL NBR7675 PN16",,indefinido
39,,203,8,"x d 300 2, 00 FL NBR7675 PN16",,indefinido
39,,261,10,"x d 350 2, 65 FL NBR7675 PN16",,indefinido
39,,318,12,"x d 450 2, 65 FL NBR7675 PN16",,indefinido
39,,368,14,"x d 600 3, 00 FL NBR7675 PN16",,indefinido
39,,419,16,"x d 600 4, 75 FL NBR7675 PN16",,indefinido
39,,470,18,"x d 600 4, 75 FL NBR7675 PN16",,indefinido
39,,521,20,"x d 600 4, 75 FL NBR7675 PN16",,indefinido
39,,622,24,"x d 600 6, 35 FL NBR7675 PN16",,indefinido
40,,48,2,"132,50 132,50 265,00 2,00 FL NBR7675 PN16 01523-",,indefinido
40,,76,3,"152,00 152,00 304,00 2,00 FL NBR7675 PN16",01523-301000,cadastrado
40,,102,4,"175,00 175,00 350,00 2,00 FL NBR7675 PN16",01523-302000,cadastrado
40,,152,6,"216,00 216,00 432,00 2,00 FL NBR7675 PN16",01523-303000,cadastrado
40,,203,8,"297,00 297,00 594,00 2,00 FL NBR7675 PN16",01523-304000,cadastrado
40,,261,10,"325,00 325,00 650,00 2,65 FL NBR7675 PN16",01523-324505,cadastrado
40,,318,12,"365,00 365,00 730,00 2,65 FL NBR7675 PN16",01523-325000,cadastrado
40,,368,14,"370,00 370,00 740,00 3,00 FL NBR7675 PN16",01523-325500,cadastrado
40,,419,16,"405,00 405,00 810,00 4,75 FL NBR7675 PN16",01523-326000,cadastrado
40,,470,18,"427,50 427,50 855,00 4,75 FL NBR7675 PN16",01523-326500,cadastrado
40,,521,20,"457,00 457,00 914,00 4,75 FL NBR7675 PN16",01523-327000,cadastrado
40,,622,24,"559,00 559,00 1118,00 6,35 FL NBR7675 PN16 01523-",,indefinido
41,,419,16,"x 368 [14""] 419 [16""] 360,00 4,75 720,00 FL NBR7675 PN16 368 [14""] 370,00 3,00 FL NBR7675 PN16",01523-326001,cadastrado
