pagina,peca,dn_mm,dn_pol,cotas,sap,situacao
15,,711,28,"838,00 6,35 K10 K10 230,40 88,98 474,80 191,95 11,25° 22,50° 11,25°",01523-000038,cadastrado
16,,133,5,"276,00 2,00 FL EN1092 PN16 64,13 37,67 136,25 83,34 11,25° 22,50° 11,25°",01523-000017,cadastrado
17,,48,2,"153,00 2,00 FL NBR7675 PN16 32,21 22,66 70,41 51,32 11,25° 22,50° 11,25°",,CADASTRAR
17,,76,3,"184,00 2,00 FL NBR7675 PN16 41,16 26,04 88,32 58,08 11,25° 22,50° 11,25°",01523-091000,cadastrado
17,,102,4,"245,00 2,00 FL NBR7675 PN16 54,88 34,59 117,76 77,18 11,25° 22,50° 11,25°",01523-092000,cadastrado
17,,152,6,"307,00 2,00 FL NBR7675 PN16 72,18 41,95 152,37 91,90 11,25° 22,50° 11,25°",01523-093000,cadastrado
17,,203,8,"337,00 2,00 FL NBR7675 PN16 84,21 40,78 174,45 93,69 11,25° 22,50° 11,25°",01523-094000,cadastrado
17,,261,10,"400,00 2,65 FL NBR7675 PN16 100,52 48,61 211,05 107,21 11,25° 22,50° 11,25°",01523-094500,cadastrado
17,,318,12,"460,00 2,65 FL NBR7675 PN16 118,13 54,87 246,25 119,75 11,25° 22,50° 11,25°",01523-095000,cadastrado
17,,368,14,"460,00 3,00 FL NBR7675 PN16 122,10 48,90 256,20 109,80 11,25° 22,50° 11,25°",01523-095060,cadastrado
17,,419,16,"491,00 4,75 FL NBR7675 PN16 133,34 49,99 278,68 111,99 11,25° 22,50° 11,25°",01523-095070,cadastrado
17,,470,18,"521,00 4,75 FL NBR7675 PN16 144,38 50,89 300,76 113,78 11,25° 22,50° 11,25°",,CADASTRAR
17,,521,20,"583,00 4,75 FL NBR7675 PN16 161,78 58,15 335,57 128,30 11,25° 22,50° 11,25°",01523-095074,cadastrado
17,,622,24,"675,00 6,35 FL NBR7675 PN16 189,13 65,40 392,26 144,81 11,25° 22,50° 11,25°",01523-095077,cadastrado
18,,48,2,"153,00 2,00 K10 FL NBR7675 PN16 32,21 22,66 70,41 51,32 11,25° 22,50° 11,25°",,indefinido
18,,76,3,"184,00 2,00 K10 FL NBR7675 PN16 41,16 26,04 88,32 58,08 11,25° 22,50° 11,25°",,indefinido
18,,102,4,"245,00 2,00 K10 FL NBR7675 PN16 54,88 34,59 117,76 77,18 11,25° 22,50° 11,25°",,indefinido
18,,152,6,"307,00 2,00 K10 FL NBR7675 PN16 72,18 41,95 152,37 91,90 11,25° 22,50° 11,25°",,indefinido
18,,203,8,"337,00 2,00 K10 FL NBR7675 PN16 84,21 40,78 174,45 93,69 11,25° 22,50° 11,25°",,indefinido
18,,261,10,"400,00 2,65 K10 FL NBR7675 PN16 100,52 48,61 211,05 107,21 11,25° 22,50° 11,25°",,indefinido
18,,318,12,"460,00 2,65 K10 FL NBR7675 PN16 118,13 54,87 246,25 119,75 11,25° 22,50° 11,25°",,indefinido
18,,368,14,"460,00 3,00 K10 FL NBR7675 PN16 122,10 48,90 256,20 109,80 11,25° 22,50° 11,25°",01523-095067,cadastrado
18,,419,16,"491,00 4,75 K10 FL NBR7675 PN16 133,34 49,99 278,68 111,99 11 ,25° 22,50° 11,25°",01523-095072,cadastrado
18,,470,18,"521,00 4,75 K10 FL NBR7675 PN16 144,38 50,89 300,76 113,78 11,25° 22,50° 11,25°",,indefinido
18,,521,20,"583,00 4,75 K10 FL NBR7675 PN16 161,78 58,15 335,57 128,30 11,25° 22,50° 11,25°",01523-095073,cadastrado
18,,622,24,"675,00 6,35 K10 FL NBR7675 PN16 189,13 65,40 392,26 144,81 11,25° 22,50° 11,25°",,indefinido
19,,48,2,"132,50 2,00 K10 38,93 26,07 83,87 58,14 15° 30° 30° 15° 01523-",,indefinido
19,,76,3,"152,00 2,00 K10 47,91 27,55 101,82 61,09 15° 30° 30° 15°",01523-131050,cadastrado
19,,102,4,"175,00 2,00 K10 56,56 29,23 121,11 66,45 15° 30° 30° 15°",01523-132050,cadastrado
19,,152,6,"216,00 2,00 K10 74,24 33,51 156,48 75,03 15° 30° 30° 15°",01523-133050,cadastrado
19,,203,8,"297,00 2,00 K10 101,78 47,38 213,56 104,77 15° 30° 30° 15°",01523-134050,cadastrado
19,,261,10,"325,00 2,65 K10 117,05 47,12 244,10 104,23 15° 30° 30° 15°",01523-134550,cadastrado
19,,318,12,"365,00 2,65 K10 135,41 50,20 280,81 110,40 15° 30° 30° 15°",01523-135050,cadastrado
