familia,dn,dn_menor,unidade_dn,variante,significado,valor_mm,confiavel,nome_no_dxf,arquivo,fonte
LUVA,150,,mm,BOLSA,comprimento_mm,181.0,1,LUVA  PVC IRRI LF BS 150 MM,pecas_CAD2.dxf,DXF da casa
LUVA,150,,mm,BOLSA,d_externo_mm,167.9,1,LUVA  PVC IRRI LF BS 150 MM,pecas_CAD2.dxf,DXF da casa
LUVA,125,,mm,BOLSA,comprimento_mm,153.0,1,LUVA  PVC IRRI LF BS 125 MM,pecas_CAD2.dxf,DXF da casa
LUVA,125,,mm,BOLSA,d_externo_mm,142.9,1,LUVA  PVC IRRI LF BS 125 MM,pecas_CAD2.dxf,DXF da casa
LUVA,100,,mm,BOLSA,comprimento_mm,120.0,1,LUVA  PVC IRRI LF BS 100 MM,pecas_CAD2.dxf,DXF da casa
LUVA,100,,mm,BOLSA,d_externo_mm,118.0,1,LUVA  PVC IRRI LF BS 100 MM,pecas_CAD2.dxf,DXF da casa
LUVA,75,,mm,BOLSA,comprimento_mm,89.0,1,LUVA  PVC IRRI LF BS 75 MM,pecas_CAD2.dxf,DXF da casa
LUVA,75,,mm,BOLSA,d_externo_mm,90.0,1,LUVA  PVC IRRI LF BS 75 MM,pecas_CAD2.dxf,DXF da casa
LUVA,35,,mm,BOLSA,comprimento_mm,213.5,1,LUVA  PVC IRRI LF BS 35 MM,pecas_CAD2.dxf,DXF da casa
LUVA,35,,mm,BOLSA,d_externo_mm,74.6,1,LUVA  PVC IRRI LF BS 35 MM,pecas_CAD2.dxf,DXF da casa
TE,150,,mm,BOLSA,face_a_face_mm,1538.4,1,TE  PVC IRRI LF BS 150 MM,pecas_CAD2.dxf,DXF da casa
TE,150,,mm,BOLSA,altura_total_mm,277.1,1,TE  PVC IRRI LF BS 150 MM,pecas_CAD2.dxf,DXF da casa
TE_REDUZIDO,100,75,mm,BOLSA,face_a_face_mm,1579.6,1,TE RED PVC IRRI LF BS 100 X 75 MM,pecas_CAD2.dxf,DXF da casa
TE_REDUZIDO,100,75,mm,BOLSA,altura_total_mm,257.4,1,TE RED PVC IRRI LF BS 100 X 75 MM,pecas_CAD2.dxf,DXF da casa
TE_REDUZIDO,150,125,mm,BOLSA,face_a_face_mm,340.0,1,TE RED PVC IRRI LF BS 150 X 125 MM,pecas_CAD2.dxf,DXF da casa
TE_REDUZIDO,150,125,mm,BOLSA,altura_total_mm,257.4,1,TE RED PVC IRRI LF BS 150 X 125 MM,pecas_CAD2.dxf,DXF da casa
TE,150,,mm,BOLSA,face_a_face_mm,372.1,1,TE  PVC IRRI LF BS 150 MM,pecas_CAD2.dxf,DXF da casa
TE,150,,mm,BOLSA,altura_total_mm,277.1,1,TE  PVC IRRI LF BS 150 MM,pecas_CAD2.dxf,DXF da casa
TE,125,,mm,BOLSA,face_a_face_mm,322.0,1,TE  PVC IRRI LF BS 125 MM,pecas_CAD2.dxf,DXF da casa
TE,125,,mm,BOLSA,altura_total_mm,232.4,1,TE  PVC IRRI LF BS 125 MM,pecas_CAD2.dxf,DXF da casa
TE_REDUZIDO,150,100,mm,BOLSA,face_a_face_mm,324.0,1,TE RED PVC IRRI LF BS 150 X 100 MM,pecas_CAD2.dxf,DXF da casa
TE_REDUZIDO,150,100,mm,BOLSA,altura_total_mm,246.0,1,TE RED PVC IRRI LF BS 150 X 100 MM,pecas_CAD2.dxf,DXF da casa
TE_REDUZIDO,100,75,mm,BOLSA,face_a_face_mm,229.5,1,TE RED PVC IRRI LF BS 100 X 75 MM,pecas_CAD2.dxf,DXF da casa
TE_REDUZIDO,100,75,mm,BOLSA,altura_total_mm,163.5,1,TE RED PVC IRRI LF BS 100 X 75 MM,pecas_CAD2.dxf,DXF da casa
TE,100,,mm,BOLSA,face_a_face_mm,229.5,1,TE  PVC IRRI LF BS 100 MM,pecas_CAD2.dxf,DXF da casa
TE,100,,mm,BOLSA,altura_total_mm,173.8,1,TE  PVC IRRI LF BS 100 MM,pecas_CAD2.dxf,DXF da casa
TE_REDUZIDO,100,50,mm,BOLSA,face_a_face_mm,229.5,1,TE RED PVC IRRI LF BS 100 X 50 MM,pecas_CAD2.dxf,DXF da casa
TE_REDUZIDO,100,50,mm,BOLSA,altura_total_mm,147.8,1,TE RED PVC IRRI LF BS 100 X 50 MM,pecas_CAD2.dxf,DXF da casa
TE_REDUZIDO,75,50,mm,BOLSA,face_a_face_mm,147.5,1,TE RED PVC IRRI LF BS 75 X 50 MM,pecas_CAD2.dxf,DXF da casa
TE_REDUZIDO,75,50,mm,BOLSA,altura_total_mm,120.0,1,TE RED PVC IRRI LF BS 75 X 50 MM,pecas_CAD2.dxf,DXF da casa
TE_REDUZIDO,75,50,mm,BOLSA,face_a_face_mm,117.0,1,TE RED PVC IRRI LF BS 75 X 50 MM,pecas_CAD2.dxf,DXF da casa
TE_REDUZIDO,75,50,mm,BOLSA,altura_total_mm,88.6,1,TE RED PVC IRRI LF BS 75 X 50 MM,pecas_CAD2.dxf,DXF da casa
