arquivo,nome,largura_mm,altura_mm,x_mm,y_mm,entidades,camadas,fonte
pecas_CAD2.dxf,"TE RED PVC IRRI LF R 35 X 1""",96.5,72.3,15160.7,4457.7,282,0 INTERNO TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,ADAP. PVC PBS 100X90,102.0,80.0,14217.7,4433.9,8,0 eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,LUVA  PVC IRRI LF BS 150 MM,181.0,167.9,21984.3,3377.8,265,PEÇAS TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,LUVA  PVC IRRI LF BS 125 MM,153.0,142.9,21593.0,3379.5,233,PEÇAS TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,LUVA  PVC IRRI LF BS 100 MM,120.0,118.0,21266.8,3431.1,831,0 TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,LUVA  PVC IRRI LF BS 75 MM,89.0,90.0,21033.7,3455.8,147,0 TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,LUVA  PVC IRRI LF BS 35 MM,213.5,74.6,20717.2,3489.0,894,0 TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,TE  PVC IRRI LF BS 150 MM,1538.4,277.1,20698.9,3684.1,3603,0 PEÇAS TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,TE RED PVC IRRI LF BS 100 X 75 MM,1579.6,257.4,20680.9,4094.5,3210,0 PEÇAS TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,TE RED PVC IRRI LF BS 150 X 125 MM,340.0,257.4,18539.6,4078.5,388,PEÇAS TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,TE  PVC IRRI LF BS 150 MM,372.1,277.1,18523.4,3513.7,413,PEÇAS TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,TE  PVC IRRI LF BS 125 MM,322.0,232.4,18048.6,3520.2,356,PEÇAS TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,TE RED PVC IRRI LF BS 150 X 100 MM,324.0,246.0,18047.6,4078.4,413,PEÇAS TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,TE RED PVC IRRI LF BS 100 X 75 MM,229.5,163.5,17594.8,4079.4,1533,0 PEÇAS TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,TE  PVC IRRI LF BS 100 MM,229.5,173.8,17594.8,3549.4,1253,0 TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,TE RED PVC IRRI LF BS 100 X 50 MM,229.5,147.8,17094.8,4079.4,45,PEÇAS TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,TE RED PVC IRRI LF BS 75 X 50 MM,147.5,120.0,16635.8,4078.9,41,0 TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,TE RED PVC IRRI LF BS 75 X 50 MM,117.0,88.6,16151.1,4079.4,790,PEÇAS TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,TE  PVC IRRI LF BS 75 MM,174.0,132.0,16058.7,3563.4,227,0 TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,TE  PVC IRRI LF BS 50 MM,122.5,92.8,15630.0,3576.9,1016,0 TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,TE  PVC IRRI LF BS 35 MM,96.5,72.2,15157.6,3584.4,338,0 TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,ADAP. PVC PBS 110X100,110.0,80.0,14216.0,4215.3,8,0 eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,ADAP. PVC PBS 125X118,125.0,90.0,14212.0,3960.3,8,0 eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,ADAP. PVC PBS 170X160,170.0,125.0,14191.8,3673.4,8,0 eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,LUVA  CORRER PVC 150 MM,196.0,175.1,21974.4,3039.4,249,0 INTERNO TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,LUVA  CORRER PVC 125 MM,163.0,150.1,21612.6,3050.4,223,0 INTERNO TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,LUVA  CORRER PVC 100 MM,103.0,125.0,21320.7,3083.0,827,0 INTERNO TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,LUVA  CORRER PVC 75 MM,101.0,102.0,21060.3,3106.0,143,0 INTERNO TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,"JOELHO SAÍDA P VENTOSA 3 50 X "" 4",93.7,105.4,20914.8,2493.2,291,0 TEXTO eixo,DXF da casa: pecas_CAD2.dxf
